1 , 20 , RMSE, SNN, known,  0.664117 
1 , 20 , NLL, SNN, known,  -0.8903581 
1 , 20 , CRPS, SNN, known,  0.3551103 
1 , 30 , RMSE, SNN, known,  0.6253215 
1 , 30 , NLL, SNN, known,  -0.9040497 
1 , 30 , CRPS, SNN, known,  0.3329131 
1 , 40 , RMSE, SNN, known,  0.6245005 
1 , 40 , NLL, SNN, known,  -0.9068759 
1 , 40 , CRPS, SNN, known,  0.3315624 
1 , 50 , RMSE, SNN, known,  0.6175591 
1 , 50 , NLL, SNN, known,  -0.8954088 
1 , 50 , CRPS, SNN, known,  0.3271556 
1 , 10 , RMSE, SNN, known,  0.6869519 
1 , 10 , NLL, SNN, known,  -0.8717957 
1 , 10 , CRPS, SNN, known,  0.3732214 
1 , 20 , RMSE, SNN, known,  0.647994 
1 , 20 , NLL, SNN, known,  -0.8996774 
1 , 20 , CRPS, SNN, known,  0.3444762 
1 , 30 , RMSE, SNN, known,  0.6298299 
1 , 30 , NLL, SNN, known,  -1.045464 
1 , 30 , CRPS, SNN, known,  0.3320536 
1 , 40 , RMSE, SNN, known,  0.6252594 
1 , 40 , NLL, SNN, known,  -1.042994 
1 , 40 , CRPS, SNN, known,  0.3290287 
1 , 50 , RMSE, SNN, known,  0.6106037 
1 , 50 , NLL, SNN, known,  -1.074719 
1 , 50 , CRPS, SNN, known,  0.322413 
1 , 10 , RMSE, SNN, known,  0.6185724 
1 , 10 , NLL, SNN, known,  -0.8786043 
1 , 10 , CRPS, SNN, known,  0.3410604 
1 , 20 , RMSE, SNN, known,  0.5616202 
1 , 20 , NLL, SNN, known,  -1.01267 
1 , 20 , CRPS, SNN, known,  0.3050947 
1 , 30 , RMSE, SNN, known,  0.5380242 
1 , 30 , NLL, SNN, known,  -1.033477 
1 , 30 , CRPS, SNN, known,  0.2893607 
1 , 40 , RMSE, SNN, known,  0.543998 
1 , 40 , NLL, SNN, known,  -1.062622 
1 , 40 , CRPS, SNN, known,  0.2907838 
1 , 50 , RMSE, SNN, known,  0.5293912 
1 , 50 , NLL, SNN, known,  -1.035288 
1 , 50 , CRPS, SNN, known,  0.2845235 
1 , 10 , RMSE, SNN, known,  0.5949291 
1 , 10 , NLL, SNN, known,  -0.9701343 
1 , 10 , CRPS, SNN, known,  0.3238699 
1 , 20 , RMSE, SNN, known,  0.5362277 
1 , 20 , NLL, SNN, known,  -1.022748 
1 , 20 , CRPS, SNN, known,  0.2860321 
1 , 30 , RMSE, SNN, known,  0.5302268 
1 , 30 , NLL, SNN, known,  -1.130018 
1 , 30 , CRPS, SNN, known,  0.2814573 
1 , 40 , RMSE, SNN, known,  0.5261971 
1 , 40 , NLL, SNN, known,  -1.091731 
1 , 40 , CRPS, SNN, known,  0.2785273 
1 , 50 , RMSE, SNN, known,  0.5131319 
1 , 50 , NLL, SNN, known,  -1.123163 
1 , 50 , CRPS, SNN, known,  0.27167 
1 , 10 , RMSE, SNN, known,  0.6995771 
1 , 10 , NLL, SNN, known,  -0.8405361 
1 , 10 , CRPS, SNN, known,  0.3852121 
1 , 20 , RMSE, SNN, known,  0.6476329 
1 , 20 , NLL, SNN, known,  -0.9069348 
1 , 20 , CRPS, SNN, known,  0.3486744 
1 , 30 , RMSE, SNN, known,  0.6160994 
1 , 30 , NLL, SNN, known,  -1.003567 
1 , 30 , CRPS, SNN, known,  0.3290693 
1 , 40 , RMSE, SNN, known,  0.6160471 
1 , 40 , NLL, SNN, known,  -0.9918739 
1 , 40 , CRPS, SNN, known,  0.3279177 
1 , 50 , RMSE, SNN, known,  0.5981523 
1 , 50 , NLL, SNN, known,  -1.020459 
1 , 50 , CRPS, SNN, known,  0.3190312 
1 , 10 , RMSE, SNN, known,  0.7638585 
1 , 10 , NLL, SNN, known,  -0.7226167 
1 , 10 , CRPS, SNN, known,  0.4257502 
1 , 20 , RMSE, SNN, known,  0.7500356 
1 , 20 , NLL, SNN, known,  -0.8274595 
1 , 20 , CRPS, SNN, known,  0.4093592 
1 , 30 , RMSE, SNN, known,  0.7015657 
1 , 30 , NLL, SNN, known,  -0.8499011 
1 , 30 , CRPS, SNN, known,  0.3787018 
1 , 40 , RMSE, SNN, known,  0.6899595 
1 , 40 , NLL, SNN, known,  -0.8531513 
1 , 40 , CRPS, SNN, known,  0.372369 
1 , 50 , RMSE, SNN, known,  0.6853603 
1 , 50 , NLL, SNN, known,  -0.9043655 
1 , 50 , CRPS, SNN, known,  0.3695743 
1 , 10 , RMSE, SNN, known,  0.635769 
1 , 10 , NLL, SNN, known,  -0.8635168 
1 , 10 , CRPS, SNN, known,  0.3491515 
1 , 20 , RMSE, SNN, known,  0.5889576 
1 , 20 , NLL, SNN, known,  -0.9522932 
1 , 20 , CRPS, SNN, known,  0.3176092 
1 , 30 , RMSE, SNN, known,  0.5648436 
1 , 30 , NLL, SNN, known,  -0.9840728 
1 , 30 , CRPS, SNN, known,  0.3041337 
1 , 40 , RMSE, SNN, known,  0.5538193 
1 , 40 , NLL, SNN, known,  -0.9617989 
1 , 40 , CRPS, SNN, known,  0.2983453 
1 , 50 , RMSE, SNN, known,  0.5447296 
1 , 50 , NLL, SNN, known,  -1.029666 
1 , 50 , CRPS, SNN, known,  0.2916048 
1 , 10 , RMSE, SNN, known,  0.618343 
1 , 10 , NLL, SNN, known,  -0.9860939 
1 , 10 , CRPS, SNN, known,  0.3302711 
1 , 20 , RMSE, SNN, known,  0.5634253 
1 , 20 , NLL, SNN, known,  -1.014187 
1 , 20 , CRPS, SNN, known,  0.2946242 
1 , 30 , RMSE, SNN, known,  0.540199 
1 , 30 , NLL, SNN, known,  -1.144369 
1 , 30 , CRPS, SNN, known,  0.2785919 
1 , 40 , RMSE, SNN, known,  0.5332686 
1 , 40 , NLL, SNN, known,  -1.210641 
1 , 40 , CRPS, SNN, known,  0.2755078 
1 , 50 , RMSE, SNN, known,  0.5245716 
1 , 50 , NLL, SNN, known,  -1.196444 
1 , 50 , CRPS, SNN, known,  0.2722681 
1 , 10 , RMSE, SNN, known,  0.6918332 
1 , 10 , NLL, SNN, known,  -0.865431 
1 , 10 , CRPS, SNN, known,  0.373514 
1 , 20 , RMSE, SNN, known,  0.6437268 
1 , 20 , NLL, SNN, known,  -0.9240316 
1 , 20 , CRPS, SNN, known,  0.341089 
1 , 30 , RMSE, SNN, known,  0.6210906 
1 , 30 , NLL, SNN, known,  -1.014643 
1 , 30 , CRPS, SNN, known,  0.3260221 
1 , 40 , RMSE, SNN, known,  0.6140387 
1 , 40 , NLL, SNN, known,  -1.031355 
1 , 40 , CRPS, SNN, known,  0.322079 
1 , 50 , RMSE, SNN, known,  0.6014634 
1 , 50 , NLL, SNN, known,  -1.066574 
1 , 50 , CRPS, SNN, known,  0.3140499 
1 , 10 , RMSE, SNN, known,  0.6427959 
1 , 10 , NLL, SNN, known,  -0.8528302 
1 , 10 , CRPS, SNN, known,  0.3475623 
1 , 20 , RMSE, SNN, known,  0.6047967 
1 , 20 , NLL, SNN, known,  -0.9323528 
1 , 20 , CRPS, SNN, known,  0.3206076 
1 , 30 , RMSE, SNN, known,  0.5842665 
1 , 30 , NLL, SNN, known,  -1.045859 
1 , 30 , CRPS, SNN, known,  0.3078578 
1 , 40 , RMSE, SNN, known,  0.5748225 
1 , 40 , NLL, SNN, known,  -1.044001 
1 , 40 , CRPS, SNN, known,  0.30405 
1 , 50 , RMSE, SNN, known,  0.5575535 
1 , 50 , NLL, SNN, known,  -1.053624 
1 , 50 , CRPS, SNN, known,  0.2930192 
1 , 10 , RMSE, SNN, known,  0.6015004 
1 , 10 , NLL, SNN, known,  -0.9105409 
1 , 10 , CRPS, SNN, known,  0.3282071 
1 , 20 , RMSE, SNN, known,  0.5622297 
1 , 20 , NLL, SNN, known,  -1.008813 
1 , 20 , CRPS, SNN, known,  0.3007071 
1 , 30 , RMSE, SNN, known,  0.5486111 
1 , 30 , NLL, SNN, known,  -1.098527 
1 , 30 , CRPS, SNN, known,  0.2911343 
1 , 40 , RMSE, SNN, known,  0.5391757 
1 , 40 , NLL, SNN, known,  -1.090938 
1 , 40 , CRPS, SNN, known,  0.2852272 
1 , 50 , RMSE, SNN, known,  0.5375064 
1 , 50 , NLL, SNN, known,  -1.14443 
1 , 50 , CRPS, SNN, known,  0.2833087 
1 , 10 , RMSE, SNN, known,  0.6588101 
1 , 10 , NLL, SNN, known,  -0.9002002 
1 , 10 , CRPS, SNN, known,  0.3603616 
1 , 20 , RMSE, SNN, known,  0.5998239 
1 , 20 , NLL, SNN, known,  -1.016588 
1 , 20 , CRPS, SNN, known,  0.3143885 
1 , 30 , RMSE, SNN, known,  0.5714321 
1 , 30 , NLL, SNN, known,  -1.11608 
1 , 30 , CRPS, SNN, known,  0.2990868 
1 , 40 , RMSE, SNN, known,  0.5697214 
1 , 40 , NLL, SNN, known,  -1.084062 
1 , 40 , CRPS, SNN, known,  0.2971395 
1 , 50 , RMSE, SNN, known,  0.5739285 
1 , 50 , NLL, SNN, known,  -1.160724 
1 , 50 , CRPS, SNN, known,  0.2990778 
2 , 10 , RMSE, SNN, known,  0.7310793 
2 , 10 , NLL, SNN, known,  -0.6155793 
2 , 10 , CRPS, SNN, known,  0.403695 
2 , 20 , RMSE, SNN, known,  0.730294 
2 , 20 , NLL, SNN, known,  -0.7277742 
2 , 20 , CRPS, SNN, known,  0.3969018 
2 , 30 , RMSE, SNN, known,  0.7152332 
2 , 30 , NLL, SNN, known,  -0.8096878 
2 , 30 , CRPS, SNN, known,  0.3822977 
2 , 40 , RMSE, SNN, known,  0.7227896 
2 , 40 , NLL, SNN, known,  -0.760022 
2 , 40 , CRPS, SNN, known,  0.3858161 
2 , 50 , RMSE, SNN, known,  0.7234427 
2 , 50 , NLL, SNN, known,  -0.7692186 
2 , 50 , CRPS, SNN, known,  0.3857357 
2 , 10 , RMSE, SNN, known,  0.6971382 
2 , 10 , NLL, SNN, known,  -0.9430914 
2 , 10 , CRPS, SNN, known,  0.3715441 
2 , 20 , RMSE, SNN, known,  0.6429878 
2 , 20 , NLL, SNN, known,  -0.9892556 
2 , 20 , CRPS, SNN, known,  0.335219 
2 , 30 , RMSE, SNN, known,  0.6064023 
2 , 30 , NLL, SNN, known,  -0.9685653 
2 , 30 , CRPS, SNN, known,  0.3150898 
2 , 40 , RMSE, SNN, known,  0.5969967 
2 , 40 , NLL, SNN, known,  -1.020155 
2 , 40 , CRPS, SNN, known,  0.307639 
2 , 50 , RMSE, SNN, known,  0.5981104 
2 , 50 , NLL, SNN, known,  -1.047725 
2 , 50 , CRPS, SNN, known,  0.3076187 
2 , 10 , RMSE, SNN, known,  0.677639 
2 , 10 , NLL, SNN, known,  -0.7060632 
2 , 10 , CRPS, SNN, known,  0.3798239 
2 , 20 , RMSE, SNN, known,  0.6718991 
2 , 20 , NLL, SNN, known,  -0.8552768 
2 , 20 , CRPS, SNN, known,  0.3668563 
2 , 30 , RMSE, SNN, known,  0.6295944 
2 , 30 , NLL, SNN, known,  -0.9210839 
2 , 30 , CRPS, SNN, known,  0.3392892 
2 , 40 , RMSE, SNN, known,  0.5909253 
2 , 40 , NLL, SNN, known,  -0.9263656 
2 , 40 , CRPS, SNN, known,  0.3169365 
2 , 50 , RMSE, SNN, known,  0.5817998 
2 , 50 , NLL, SNN, known,  -0.9485845 
2 , 50 , CRPS, SNN, known,  0.3110605 
2 , 10 , RMSE, SNN, known,  0.7678241 
2 , 10 , NLL, SNN, known,  -0.7122408 
2 , 10 , CRPS, SNN, known,  0.4210707 
2 , 20 , RMSE, SNN, known,  0.718926 
2 , 20 , NLL, SNN, known,  -0.7470309 
2 , 20 , CRPS, SNN, known,  0.3904708 
2 , 30 , RMSE, SNN, known,  0.7143365 
2 , 30 , NLL, SNN, known,  -0.8008756 
2 , 30 , CRPS, SNN, known,  0.3818 
2 , 40 , RMSE, SNN, known,  0.7037637 
2 , 40 , NLL, SNN, known,  -0.8568136 
2 , 40 , CRPS, SNN, known,  0.3740953 
2 , 50 , RMSE, SNN, known,  0.714392 
2 , 50 , NLL, SNN, known,  -0.8059349 
2 , 50 , CRPS, SNN, known,  0.378826 
2 , 10 , RMSE, SNN, known,  0.7275224 
2 , 10 , NLL, SNN, known,  -0.7336039 
2 , 10 , CRPS, SNN, known,  0.3957871 
2 , 20 , RMSE, SNN, known,  0.730902 
2 , 20 , NLL, SNN, known,  -0.7934018 
2 , 20 , CRPS, SNN, known,  0.393602 
2 , 30 , RMSE, SNN, known,  0.6877394 
2 , 30 , NLL, SNN, known,  -0.8684174 
2 , 30 , CRPS, SNN, known,  0.3631054 
2 , 40 , RMSE, SNN, known,  0.6433142 
2 , 40 , NLL, SNN, known,  -0.866346 
2 , 40 , CRPS, SNN, known,  0.3381767 
